Date,Title,Sentiment_Score,Label
2007-06-04,Blackstone boosts IPO after Beijing takes $3bn stake,0.8963129380717874,positive
2007-06-04,Trade Deficit Increases in March 2007,0.4231460988521576,positive
2007-06-06,Consumer Price Index 2.6 percent higher than in April 2006,0.8667910285294056,positive
2007-06-06,"Nonfarm payroll employment increased by 157,000 in May",0.7051833868026733,positive
2007-06-06,U.S. Federal Reserve Kept Rates Unchanged at 5.25 Percent,-0.1495662629604339,neutral
2007-06-06,United States GDP Rises 0.6 percent in the first quarter of  2007,0.8909855056554079,positive
2007-06-06,United States Trade Balance Deficit Rises to $63.9 billion,-0.6903097480535507,negative
2007-06-21,US Economy is expanding after Q1 slowdown,0.7766573950648308,positive
2007-06-24,The Fed is widely expected to keep the benchmark rate at 5.25%,-0.0241089910268783,neutral
2007-06-26,Consumer Confidence and Housing Weaken in US,-0.9593213312327862,negative
2007-06-28,Fed keeps the federal funds rate at 5-1/4 percent,0.2742702886462211,neutral
2007-07-05,U.S. ISM Services Index Reached 14-Month High in June,0.843136940151453,positive
2007-07-06,US June unemployment rate unchanged at 4.5%,-0.6879772022366524,negative
2007-07-10,"U.S. Growth, Easing Inflation to Follow Fed `Script'",0.2133844196796417,neutral
2007-07-12,US trade deficit increases to $60.0 billion in May,-0.8311200216412544,negative
2007-07-18,Fed chief acknowledges credit fears,-0.2601318135857582,neutral
2007-07-25,Fed Says Expansion Is Hampered by Increasing Costs,-0.8165008760988712,negative
2007-07-26,US new-home sales slide 6.6%,-0.9657171824947,negative
2007-07-27,U.S. Economy Grew at a 3.4% Annual Rate in Q2,0.8290959745645523,positive
2007-07-31,US core inflation was up by 0.1 percent in June,0.8642867691814899,positive
2007-08-01,U.S. Companies added the smallest number of jobs in 4 years,-0.7626791819930077,negative
2007-08-07,US Federal Reserve keeps interest rates unchanged at 5.25%,-0.3749593049287796,neutral
2007-08-10,Stock Markets Fall Worldwide! Recession?,-0.9615006530657412,negative
2007-08-13,Goldman Sachs fights back by putting $3 billion on its hedge fund,0.0522554218769073,positive
2007-08-14,U.S. Trade Deficit Narrows in June to $58.1 Bln,-0.4427561461925506,negative
2007-08-15,U.S. Consumer Prices Rise Less Than Expected,0.4394616335630417,positive
2007-08-16,Dow Jones recovers 300 points in the final 45 minutes,-0.9418614320456982,negative
2007-08-17,Federal Reserve cuts interest rates by 50 bps,-0.0514240115880966,neutral
2007-08-18,Stock Markets Rally After the Fed rate cut,0.8058138266205788,positive
2007-08-20,Stocks rise as subprime concerns ease,-0.4782805442810058,negative
2007-08-26,Another volatile week on Wall Street?,-0.552385613322258,negative
2007-08-28,Americans' Confidence Weakens by Most in Two Years,-0.9599242503754796,negative
2007-08-28,Markets slide as Fed fails to reassure,-0.936940835788846,negative
2007-08-29,U.S. Stocks Rebound on Profit Outlook,-0.1231546700000763,negative
2007-08-30,US Real GDP increases 4.0% in Q2,0.814554538577795,positive
2007-08-31,Bernanke offers no signal for rate cut,-0.4626355767250061,negative
2007-09-04,U.S. Stocks rally on Strong Earnings Expectations,0.8449545539915562,positive
2007-09-07,U.S. Payrolls Unexpectedly Drop First Time Since 2003,-0.9559221165254712,negative
2007-09-10,Fed Officials See Economy Weakening After Job Losses,-0.9337331503629684,negative
2007-09-11,The U.S. trade deficit narrowed in July,-0.5308255404233932,negative
2007-09-12,Dollar Falls to Record Low Against Euro,-0.942095810547471,negative
2007-09-17,Wall St set for defensive start,-0.9603961305692792,negative
2007-09-18,Fed Lowers Benchmark Rate to 4.75 Percent,-0.8898022212088108,negative
2007-09-18,U.S. Stock Futures Advance on Speculation the Fed Will Cut Rates,0.4132969379425049,positive
2007-09-19,U.S. Consumer Prices Unexpectedly Fall 0.1% in August,-0.9571507479995488,negative
2007-09-20,Dollar Falls to Record Low Against Euro,-0.9459789833053946,negative
2007-09-21,Dollar Heads for Third Weekly Loss Against Euro,-0.9410390052944422,negative
2007-09-24,Dollar Falls to Record Low Against Euro.,-0.9533936083316804,negative
2007-09-25,The Federal Reserve May Add more Money to the System,0.0898133777081966,neutral
2007-09-27,U.S. Stocks Rise on Rate-Cut Speculation,0.8292390778660774,positive
2007-09-27,US Real GDP intreases 3.8% in Q2,0.4828446432948112,positive
2007-09-30,Jobs data pivotal for US stocks,0.0634773075580596,neutral
2007-10-05,US Employment Grows in September,0.8337399400770664,positive
2007-10-06,Earnings may keep stocks rally alive,0.8837140761315823,positive
2007-10-07,Greenspan says U.S. economic growth slowing,-0.8658694513142109,negative
2007-10-08,Oil Poised for Drop as Price Gap to Gasoline Widens,-0.9527432918548584,negative
2007-10-10,World stocks at record high,-0.8401304334402084,negative
2007-10-11,Nasdaq leads market's drop on Baidu.com note,-0.9601408056914806,negative
2007-10-11,U.S. August Trade Deficit Narrowed More Than Forecast,-0.6360757499933243,negative
2007-10-12,Retail data ease pressure on Fed,0.533060222864151,positive
2007-10-12,Wall Street Rises on Data,0.9060130007565022,positive
2007-10-13,"Stocks face earnings and ""Black Monday""",-0.3855622373521328,neutral
2007-10-15,Gold Rises to 27-Year High on Dollar's Slump,0.919780310243368,positive
2007-10-15,Bernanke Says Housing to Remain `Drag' on U.S. Growth,-0.5416518673300743,negative
2007-10-16,Oil prices at $100 at the end of this year?,-0.7024139165878296,negative
2007-10-17,"U.S. CPI Rise in September on Food, Fuel",0.767289824783802,positive
2007-10-17,Bond yields fall as US recession fears grow,-0.9601434199139476,negative
2007-10-18,Crude Oil Reaches Record $90,0.8879249356687069,positive
2007-10-19,U.S. Stocks Fall Most in 2 Months,-0.9576963009312748,negative
2007-10-22,"U.S. Stocks Rise, Led by Technology, Bank Shares; Apple Gains",0.8987058289349079,positive
2007-10-22,Wall Street set for sharp losses,-0.9575831154361368,negative
2007-10-23,Oil turns higher and climbs back above $86,0.5546431988477707,positive
2007-10-23,"U.S. Stocks Advance on Earnings; Apple, American Express Rally",0.8794651478528976,positive
2007-10-24,Will the FED cut rates on October 31?,-0.57279983907938,negative
2007-10-24,U.S. Stocks Drop on Merrill Lynch Loss,-0.9604751281440258,negative
2007-10-25,Dollar nears record low vs euro after durables data,-0.9089127257466316,negative
2007-10-25,Housing data and earnings lift Wall Street,0.9015492498874664,positive
2007-10-25,Oil hits record over $90,0.8972128834575415,positive
2007-10-26,Oil tops $92 on inventory concerns,-0.0198038518428802,negative
2007-10-26,"Market set to rise on Countrywide, Microsoft",0.9062448721379042,positive
2007-10-26,Wall Street ends higher on Microsoft and Countrywide,0.8801303505897522,positive
2007-10-26,Dollar Falls to Record Low Versus Euro as Bets on Fed Cut Mount,-0.940076932311058,negative
